"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","4,822,023","*****","4,822,023","(X)","731,449","*****","731,449","(X)","6,553,255","*****","6,553,255","(X)","2,949,131","*****","2,949,131","(X)","38,041,430","*****","38,041,430","(X)","5,187,582","*****","5,187,582","(X)","3,590,347","*****","3,590,347","(X)","917,092","*****","917,092","(X)","632,323","*****","632,323","(X)","19,317,568","*****","19,317,568","(X)","9,919,945","*****","9,919,945","(X)","1,392,313","*****","1,392,313","(X)","1,595,728","*****","1,595,728","(X)","12,875,255","*****","12,875,255","(X)","6,537,334","*****","6,537,334","(X)","3,074,186","*****","3,074,186","(X)","2,885,905","*****","2,885,905","(X)","4,380,415","*****","4,380,415","(X)","4,601,893","*****","4,601,893","(X)","1,329,192","*****","1,329,192","(X)","5,884,563","*****","5,884,563","(X)","6,646,144","*****","6,646,144","(X)","9,883,360","*****","9,883,360","(X)","5,379,139","*****","5,379,139","(X)","2,984,926","*****","2,984,926","(X)","6,021,988","*****","6,021,988","(X)","1,005,141","*****","1,005,141","(X)","1,855,525","*****","1,855,525","(X)","2,758,931","*****","2,758,931","(X)","1,320,718","*****","1,320,718","(X)","8,864,590","*****","8,864,590","(X)","2,085,538","*****","2,085,538","(X)","19,570,261","*****","19,570,261","(X)","9,752,073","*****","9,752,073","(X)","699,628","*****","699,628","(X)","11,544,225","*****","11,544,225","(X)","3,814,820","*****","3,814,820","(X)","3,899,353","*****","3,899,353","(X)","12,763,536","*****","12,763,536","(X)","1,050,292","*****","1,050,292","(X)","4,723,723","*****","4,723,723","(X)","833,354","*****","833,354","(X)","6,456,243","*****","6,456,243","(X)","26,059,203","*****","26,059,203","(X)","2,855,287","*****","2,855,287","(X)","626,011","*****","626,011","(X)","8,185,867","*****","8,185,867","(X)","6,897,012","*****","6,897,012","(X)","1,855,413","*****","1,855,413","(X)","5,726,398","*****","5,726,398","(X)","576,412","*****","576,412","(X)","3,667,084","*****","3,667,084","(X)"
"    Male","2,336,291","±3,772","48.5%","±0.1","381,094","±1,702","52.1%","±0.2","3,260,687","±2,638","49.8%","±0.1","1,449,265","±3,205","49.1%","±0.1","18,917,773","±4,374","49.7%","±0.1","2,601,370","±3,232","50.1%","±0.1","1,749,806","±1,927","48.7%","±0.1","444,691","±881","48.5%","±0.1","299,036","±318","47.3%","±0.1","9,441,001","±6,373","48.9%","±0.1","4,851,053","±6,551","48.9%","±0.1","701,196","±1,123","50.4%","±0.1","798,712","±2,934","50.1%","±0.2","6,316,653","±4,276","49.1%","±0.1","3,217,145","±3,678","49.2%","±0.1","1,524,107","±3,514","49.6%","±0.1","1,434,617","±2,912","49.7%","±0.1","2,154,939","±3,541","49.2%","±0.1","2,248,888","±4,274","48.9%","±0.1","650,714","±1,896","49.0%","±0.1","2,849,291","±2,636","48.4%","±0.1","3,219,753","±2,324","48.4%","±0.1","4,851,429","±3,886","49.1%","±0.1","2,670,741","±3,022","49.6%","±0.1","1,442,072","±3,816","48.3%","±0.1","2,953,591","±4,454","49.0%","±0.1","503,458","±1,842","50.1%","±0.2","923,099","±1,803","49.7%","±0.1","1,391,864","±1,827","50.4%","±0.1","648,288","±1,796","49.1%","±0.1","4,321,436","±2,448","48.7%","±0.1","1,034,877","±2,603","49.6%","±0.1","9,485,872","±4,452","48.5%","±0.1","4,751,047","±5,464","48.7%","±0.1","357,591","±1,433","51.1%","±0.2","5,642,634","±4,379","48.9%","±0.1","1,889,807","±2,673","49.5%","±0.1","1,932,789","±3,361","49.6%","±0.1","6,229,333","±3,651","48.8%","±0.1","506,835","±1,355","48.3%","±0.1","2,295,781","±4,676","48.6%","±0.1","417,803","±1,674","50.1%","±0.2","3,144,756","±4,329","48.7%","±0.1","12,945,218","±7,615","49.7%","±0.1","1,435,028","±2,086","50.3%","±0.1","309,184","±980","49.4%","±0.2","4,015,045","±6,243","49.0%","±0.1","3,441,429","±2,785","49.9%","±0.1","911,681","±2,937","49.1%","±0.2","2,842,737","±3,446","49.6%","±0.1","292,736","±1,854","50.8%","±0.3","1,757,273","±2,739","47.9%","±0.1"
"    Female","2,485,732","±3,772","51.5%","±0.1","350,355","±1,702","47.9%","±0.2","3,292,568","±2,638","50.2%","±0.1","1,499,866","±3,205","50.9%","±0.1","19,123,657","±4,374","50.3%","±0.1","2,586,212","±3,232","49.9%","±0.1","1,840,541","±1,927","51.3%","±0.1","472,401","±881","51.5%","±0.1","333,287","±318","52.7%","±0.1","9,876,567","±6,373","51.1%","±0.1","5,068,892","±6,551","51.1%","±0.1","691,117","±1,123","49.6%","±0.1","797,016","±2,934","49.9%","±0.2","6,558,602","±4,276","50.9%","±0.1","3,320,189","±3,678","50.8%","±0.1","1,550,079","±3,514","50.4%","±0.1","1,451,288","±2,912","50.3%","±0.1","2,225,476","±3,541","50.8%","±0.1","2,353,005","±4,274","51.1%","±0.1","678,478","±1,896","51.0%","±0.1","3,035,272","±2,636","51.6%","±0.1","3,426,391","±2,324","51.6%","±0.1","5,031,931","±3,886","50.9%","±0.1","2,708,398","±3,022","50.4%","±0.1","1,542,854","±3,816","51.7%","±0.1","3,068,397","±4,454","51.0%","±0.1","501,683","±1,842","49.9%","±0.2","932,426","±1,803","50.3%","±0.1","1,367,067","±1,827","49.6%","±0.1","672,430","±1,796","50.9%","±0.1","4,543,154","±2,448","51.3%","±0.1","1,050,661","±2,603","50.4%","±0.1","10,084,389","±4,452","51.5%","±0.1","5,001,026","±5,464","51.3%","±0.1","342,037","±1,433","48.9%","±0.2","5,901,591","±4,379","51.1%","±0.1","1,925,013","±2,673","50.5%","±0.1","1,966,564","±3,361","50.4%","±0.1","6,534,203","±3,651","51.2%","±0.1","543,457","±1,355","51.7%","±0.1","2,427,942","±4,676","51.4%","±0.1","415,551","±1,674","49.9%","±0.2","3,311,487","±4,329","51.3%","±0.1","13,113,985","±7,615","50.3%","±0.1","1,420,259","±2,086","49.7%","±0.1","316,827","±980","50.6%","±0.2","4,170,822","±6,243","51.0%","±0.1","3,455,583","±2,785","50.1%","±0.1","943,732","±2,937","50.9%","±0.2","2,883,661","±3,446","50.4%","±0.1","283,676","±1,854","49.2%","±0.3","1,909,811","±2,739","52.1%","±0.1"
"    Under 5 years","301,808","±2,840","6.3%","±0.1","53,934","±1,005","7.4%","±0.1","437,772","±1,614","6.7%","±0.1","191,656","±2,338","6.5%","±0.1","2,536,810","±2,553","6.7%","±0.1","336,995","±1,857","6.5%","±0.1","193,070","±984","5.4%","±0.1","56,185","±333","6.1%","±0.1","39,002","±267","6.2%","±0.1","1,070,345","±3,003","5.5%","±0.1","671,105","±3,638","6.8%","±0.1","89,013","±333","6.4%","±0.1","113,736","±1,847","7.1%","±0.1","814,027","±2,147","6.3%","±0.1","424,157","±2,538","6.5%","±0.1","195,997","±2,164","6.4%","±0.1","201,418","±1,807","7.0%","±0.1","276,673","±1,986","6.3%","±0.1","309,280","±2,663","6.7%","±0.1","66,190","±939","5.0%","±0.1","364,625","±1,612","6.2%","±0.1","363,859","±988","5.5%","±0.1","571,645","±1,749","5.8%","±0.1","347,581","±1,721","6.5%","±0.1","202,396","±2,322","6.8%","±0.1","374,591","±2,449","6.2%","±0.1","58,839","±954","5.9%","±0.1","132,001","±1,369","7.1%","±0.1","182,912","±1,369","6.6%","±0.1","65,506","±859","5.0%","±0.1","526,587","±1,549","5.9%","±0.1","143,036","±1,183","6.9%","±0.1","1,164,322","±1,976","5.9%","±0.1","611,752","±3,011","6.3%","±0.1","45,120","±664","6.4%","±0.1","690,055","±2,208","6.0%","±0.1","262,161","±1,948","6.9%","±0.1","232,113","±2,276","6.0%","±0.1","718,316","±1,844","5.6%","±0.1","56,147","±854","5.3%","±0.1","294,537","±2,136","6.2%","±0.1","58,683","±971","7.0%","±0.1","400,023","±2,640","6.2%","±0.1","1,932,848","±4,326","7.4%","±0.1","257,929","±1,330","9.0%","±0.1","31,011","±837","5.0%","±0.1","507,071","±3,274","6.2%","±0.1","440,973","±1,850","6.4%","±0.1","105,263","±1,847","5.7%","±0.1","351,235","±2,082","6.1%","±0.1","38,016","±1,247","6.6%","±0.2","209,354","±535","5.7%","±0.1"
"    5 to 9 years","312,832","±7,759","6.5%","±0.2","52,205","±2,377","7.1%","±0.3","454,375","±8,537","6.9%","±0.1","205,513","±6,332","7.0%","±0.2","2,536,490","±16,787","6.7%","±0.1","359,636","±6,656","6.9%","±0.1","216,202","±4,514","6.0%","±0.1","57,043","±3,025","6.2%","±0.3","30,392","±2,025","4.8%","±0.3","1,111,245","±16,424","5.8%","±0.1","702,757","±10,236","7.1%","±0.1","83,474","±3,154","6.0%","±0.2","118,556","±4,486","7.4%","±0.3","842,260","±10,807","6.5%","±0.1","440,352","±7,947","6.7%","±0.1","201,963","±5,208","6.6%","±0.2","202,554","±5,508","7.0%","±0.2","280,704","±5,975","6.4%","±0.1","307,762","±7,459","6.7%","±0.2","76,892","±3,164","5.8%","±0.2","375,963","±6,995","6.4%","±0.1","378,925","±7,396","5.7%","±0.1","618,518","±8,625","6.3%","±0.1","365,611","±5,817","6.8%","±0.1","210,196","±6,025","7.0%","±0.2","394,277","±7,758","6.5%","±0.1","66,172","±3,062","6.6%","±0.3","132,414","±3,157","7.1%","±0.2","186,423","±5,590","6.8%","±0.2","74,014","±3,156","5.6%","±0.2","555,966","±8,756","6.3%","±0.1","149,288","±4,722","7.2%","±0.2","1,143,922","±12,632","5.8%","±0.1","651,304","±11,092","6.7%","±0.1","44,976","±2,304","6.4%","±0.3","735,013","±9,327","6.4%","±0.1","265,322","±5,209","7.0%","±0.1","242,870","±5,799","6.2%","±0.1","748,822","±9,742","5.9%","±0.1","56,113","±3,017","5.3%","±0.3","307,136","±6,370","6.5%","±0.1","58,764","±2,111","7.1%","±0.3","417,345","±8,299","6.5%","±0.1","1,962,557","±17,080","7.5%","±0.1","252,550","±4,976","8.8%","±0.2","32,904","±1,583","5.3%","±0.3","516,233","±8,070","6.3%","±0.1","429,195","±7,206","6.2%","±0.1","105,721","±3,807","5.7%","±0.2","370,241","±5,861","6.5%","±0.1","38,616","±2,242","6.7%","±0.4","232,111","±5,411","6.3%","±0.1"
"    10 to 14 years","321,323","±7,792","6.7%","±0.2","50,912","±1,949","7.0%","±0.3","458,089","±8,620","7.0%","±0.1","197,994","±5,671","6.7%","±0.2","2,552,120","±16,158","6.7%","±0.1","338,559","±7,186","6.5%","±0.1","235,401","±4,592","6.6%","±0.1","57,116","±3,215","6.2%","±0.4","23,874","±2,060","3.8%","±0.3","1,119,421","±16,367","5.8%","±0.1","715,967","±10,421","7.2%","±0.1","82,207","±3,133","5.9%","±0.2","123,915","±4,163","7.8%","±0.3","874,322","±10,917","6.8%","±0.1","453,902","±7,750","6.9%","±0.1","203,907","±4,665","6.6%","±0.2","200,661","±5,279","7.0%","±0.2","292,117","±5,719","6.7%","±0.1","321,319","±7,658","7.0%","±0.2","74,288","±2,994","5.6%","±0.2","370,233","±7,051","6.3%","±0.1","405,220","±7,735","6.1%","±0.1","662,279","±9,254","6.7%","±0.1","350,518","±5,400","6.5%","±0.1","212,355","±5,904","7.1%","±0.2","396,481","±7,252","6.6%","±0.1","58,443","±2,809","5.8%","±0.3","125,824","±2,948","6.8%","±0.2","185,029","±5,392","6.7%","±0.2","83,168","±3,150","6.3%","±0.2","585,184","±8,868","6.6%","±0.1","139,000","±4,390","6.7%","±0.2","1,199,048","±12,814","6.1%","±0.1","648,642","±10,782","6.7%","±0.1","39,695","±2,100","5.7%","±0.3","767,329","±8,915","6.6%","±0.1","260,737","±4,573","6.8%","±0.1","239,135","±6,360","6.1%","±0.2","776,618","±9,657","6.1%","±0.1","65,263","±3,122","6.2%","±0.3","303,998","±6,267","6.4%","±0.1","53,892","±2,125","6.5%","±0.3","422,473","±8,348","6.5%","±0.1","1,961,145","±16,773","7.5%","±0.1","243,939","±5,336","8.5%","±0.2","36,885","±1,541","5.9%","±0.2","519,996","±8,917","6.4%","±0.1","450,113","±7,171","6.5%","±0.1","108,817","±3,671","5.9%","±0.2","370,588","±5,941","6.5%","±0.1","38,526","±2,173","6.7%","±0.4","247,073","±5,422","6.7%","±0.1"
"    15 to 19 years","331,780","±5,146","6.9%","±0.1","50,042","±2,012","6.8%","±0.3","449,930","±3,222","6.9%","±0.1","198,127","±4,385","6.7%","±0.1","2,718,832","±4,966","7.1%","±0.1","342,417","±3,455","6.6%","±0.1","257,301","±1,794","7.2%","±0.1","62,400","±1,487","6.8%","±0.2","39,815","±1,950","6.3%","±0.3","1,193,173","±6,047","6.2%","±0.1","710,669","±7,306","7.2%","±0.1","82,212","±1,536","5.9%","±0.1","113,794","±2,269","7.1%","±0.1","893,224","±4,838","6.9%","±0.1","462,455","±4,839","7.1%","±0.1","210,664","±2,290","6.9%","±0.1","207,793","±3,860","7.2%","±0.1","289,298","±4,287","6.6%","±0.1","314,869","±3,891","6.8%","±0.1","85,514","±1,481","6.4%","±0.1","394,552","±3,149","6.7%","±0.1","469,323","±2,838","7.1%","±0.1","700,929","±3,644","7.1%","±0.1","360,976","±2,859","6.7%","±0.1","224,918","±5,651","7.5%","±0.2","410,709","±4,306","6.8%","±0.1","63,205","±1,802","6.3%","±0.2","125,952","±2,153","6.8%","±0.1","175,794","±1,595","6.4%","±0.1","93,131","±1,935","7.1%","±0.1","587,914","±2,926","6.6%","±0.1","150,331","±3,173","7.2%","±0.2","1,314,125","±5,443","6.7%","±0.1","660,015","±6,628","6.8%","±0.1","48,962","±1,691","7.0%","±0.2","792,974","±4,872","6.9%","±0.1","258,439","±2,612","6.8%","±0.1","247,170","±3,355","6.3%","±0.1","873,913","±3,704","6.8%","±0.1","76,095","±1,016","7.2%","±0.1","319,933","±5,562","6.8%","±0.1","59,542","±2,181","7.1%","±0.3","427,789","±5,396","6.6%","±0.1","1,888,916","±8,825","7.2%","±0.1","222,349","±2,404","7.8%","±0.1","45,351","±867","7.2%","±0.1","554,242","±6,722","6.8%","±0.1","446,668","±3,514","6.5%","±0.1","111,971","±3,095","6.0%","±0.2","391,173","±2,835","6.8%","±0.1","38,799","±2,439","6.7%","±0.4","277,622","±3,601","7.6%","±0.1"
"    20 to 24 years","344,634","±4,608","7.1%","±0.1","59,762","±1,970","8.2%","±0.3","472,625","±3,064","7.2%","±0.1","206,459","±3,688","7.0%","±0.1","2,917,394","±5,343","7.7%","±0.1","365,321","±3,590","7.0%","±0.1","230,395","±1,806","6.4%","±0.1","65,736","±1,566","7.2%","±0.2","59,709","±2,042","9.4%","±0.3","1,319,637","±6,205","6.8%","±0.1","715,609","±7,415","7.2%","±0.1","103,126","±1,736","7.4%","±0.1","112,941","±2,685","7.1%","±0.2","892,527","±4,511","6.9%","±0.1","477,523","±4,339","7.3%","±0.1","224,662","±2,978","7.3%","±0.1","210,255","±3,194","7.3%","±0.1","306,162","±3,574","7.0%","±0.1","342,058","±4,431","7.4%","±0.1","79,291","±1,730","6.0%","±0.1","407,055","±3,178","6.9%","±0.1","472,208","±3,060","7.1%","±0.1","708,971","±2,974","7.2%","±0.1","353,709","±2,925","6.6%","±0.1","223,093","±6,122","7.5%","±0.2","422,289","±4,712","7.0%","±0.1","71,712","±1,978","7.1%","±0.2","132,426","±2,170","7.1%","±0.1","188,131","±1,756","6.8%","±0.1","85,016","±1,542","6.4%","±0.1","559,587","±3,559","6.3%","±0.1","143,553","±2,647","6.9%","±0.1","1,439,083","±5,496","7.4%","±0.1","690,477","±5,877","7.1%","±0.1","62,971","±1,968","9.0%","±0.3","788,138","±4,344","6.8%","±0.1","280,705","±3,421","7.4%","±0.1","266,293","±3,901","6.8%","±0.1","889,550","±4,118","7.0%","±0.1","84,403","±1,328","8.0%","±0.1","346,503","±5,516","7.3%","±0.1","58,181","±2,331","7.0%","±0.3","452,140","±4,792","7.0%","±0.1","1,923,358","±8,674","7.4%","±0.1","237,185","±2,226","8.3%","±0.1","44,912","±849","7.2%","±0.1","583,559","±6,456","7.1%","±0.1","484,204","±3,609","7.0%","±0.1","127,440","±3,556","6.9%","±0.2","388,991","±3,414","6.8%","±0.1","41,513","±2,247","7.2%","±0.4","268,787","±3,618","7.3%","±0.1"
"    25 to 34 years","608,843","±5,624","12.6%","±0.1","109,331","±2,365","14.9%","±0.3","875,914","±3,242","13.4%","±0.1","379,413","±4,633","12.9%","±0.2","5,474,318","±4,703","14.4%","±0.1","756,564","±4,261","14.6%","±0.1","432,609","±2,142","12.0%","±0.1","113,848","±1,176","12.4%","±0.1","138,878","±491","22.0%","±0.1","2,381,017","±5,784","12.3%","±0.1","1,349,901","±7,671","13.6%","±0.1","199,308","±1,164","14.3%","±0.1","210,429","±2,866","13.2%","±0.2","1,782,088","±5,077","13.8%","±0.1","831,240","±3,988","12.7%","±0.1","389,631","±3,115","12.7%","±0.1","383,049","±2,914","13.3%","±0.1","561,750","±3,894","12.8%","±0.1","644,935","±6,472","14.0%","±0.1","147,351","±1,562","11.1%","±0.1","801,626","±3,527","13.6%","±0.1","886,716","±2,145","13.3%","±0.1","1,172,289","±4,211","11.9%","±0.1","737,436","±3,202","13.7%","±0.1","374,529","±6,098","12.5%","±0.2","790,238","±4,810","13.1%","±0.1","123,950","±1,609","12.3%","±0.2","249,263","±2,672","13.4%","±0.1","394,004","±2,313","14.3%","±0.1","148,055","±1,578","11.2%","±0.1","1,128,566","±2,822","12.7%","±0.1","274,879","±3,640","13.2%","±0.2","2,755,074","±4,525","14.1%","±0.1","1,252,143","±6,072","12.8%","±0.1","98,752","±1,782","14.1%","±0.3","1,430,201","±4,369","12.4%","±0.1","516,852","±3,405","13.5%","±0.1","532,957","±3,509","13.7%","±0.1","1,572,037","±4,140","12.3%","±0.1","128,901","±1,092","12.3%","±0.1","599,125","±5,788","12.7%","±0.1","110,630","±1,793","13.3%","±0.2","843,449","±5,616","13.1%","±0.1","3,751,515","±8,323","14.4%","±0.1","445,114","±2,631","15.6%","±0.1","70,300","±935","11.2%","±0.1","1,138,612","±6,547","13.9%","±0.1","970,606","±3,723","14.1%","±0.1","218,051","±2,094","11.8%","±0.1","734,480","±3,835","12.8%","±0.1","80,079","±1,813","13.9%","±0.3","456,664","±3,473","12.5%","±0.1"
