"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","4,802,740","*****","4,802,740","(X)","722,718","*****","722,718","(X)","6,482,505","*****","6,482,505","(X)","2,937,979","*****","2,937,979","(X)","37,691,912","*****","37,691,912","(X)","5,116,796","*****","5,116,796","(X)","3,580,709","*****","3,580,709","(X)","907,135","*****","907,135","(X)","617,996","*****","617,996","(X)","19,057,542","*****","19,057,542","(X)","9,815,210","*****","9,815,210","(X)","1,374,810","*****","1,374,810","(X)","1,584,985","*****","1,584,985","(X)","12,869,259","*****","12,869,259","(X)","6,516,922","*****","6,516,922","(X)","3,062,309","*****","3,062,309","(X)","2,871,238","*****","2,871,238","(X)","4,369,356","*****","4,369,356","(X)","4,574,836","*****","4,574,836","(X)","1,328,188","*****","1,328,188","(X)","5,828,289","*****","5,828,289","(X)","6,587,536","*****","6,587,536","(X)","9,876,187","*****","9,876,187","(X)","5,344,861","*****","5,344,861","(X)","2,978,512","*****","2,978,512","(X)","6,010,688","*****","6,010,688","(X)","998,199","*****","998,199","(X)","1,842,641","*****","1,842,641","(X)","2,723,322","*****","2,723,322","(X)","1,318,194","*****","1,318,194","(X)","8,821,155","*****","8,821,155","(X)","2,082,224","*****","2,082,224","(X)","19,465,197","*****","19,465,197","(X)","9,656,401","*****","9,656,401","(X)","683,932","*****","683,932","(X)","11,544,951","*****","11,544,951","(X)","3,791,508","*****","3,791,508","(X)","3,871,859","*****","3,871,859","(X)","12,742,886","*****","12,742,886","(X)","1,051,302","*****","1,051,302","(X)","4,679,230","*****","4,679,230","(X)","824,082","*****","824,082","(X)","6,403,353","*****","6,403,353","(X)","25,674,681","*****","25,674,681","(X)","2,817,222","*****","2,817,222","(X)","626,431","*****","626,431","(X)","8,096,604","*****","8,096,604","(X)","6,830,038","*****","6,830,038","(X)","1,855,364","*****","1,855,364","(X)","5,711,767","*****","5,711,767","(X)","568,158","*****","568,158","(X)","3,706,690","*****","3,706,690","(X)"
"    Male","2,324,413","±5,329","48.4%","±0.1","372,916","±1,425","51.6%","±0.2","3,228,514","±4,431","49.8%","±0.1","1,447,850","±3,826","49.3%","±0.1","18,750,692","±4,823","49.7%","±0.1","2,569,136","±4,217","50.2%","±0.1","1,743,795","±1,891","48.7%","±0.1","439,918","±939","48.5%","±0.1","292,283","±485","47.3%","±0.1","9,321,149","±7,263","48.9%","±0.1","4,808,996","±7,576","49.0%","±0.1","688,600","±1,358","50.1%","±0.1","794,914","±2,358","50.2%","±0.1","6,309,308","±4,694","49.0%","±0.1","3,206,430","±4,000","49.2%","±0.1","1,512,251","±2,950","49.4%","±0.1","1,423,188","±2,574","49.6%","±0.1","2,143,745","±4,175","49.1%","±0.1","2,236,117","±4,028","48.9%","±0.1","651,076","±1,884","49.0%","±0.1","2,820,212","±3,160","48.4%","±0.1","3,187,794","±2,018","48.4%","±0.1","4,848,677","±3,272","49.1%","±0.1","2,656,471","±3,274","49.7%","±0.1","1,446,634","±4,222","48.6%","±0.1","2,945,756","±4,369","49.0%","±0.1","500,311","±1,724","50.1%","±0.2","912,496","±2,903","49.5%","±0.2","1,372,750","±2,376","50.4%","±0.1","651,060","±1,847","49.4%","±0.1","4,298,542","±2,384","48.7%","±0.1","1,036,558","±2,872","49.8%","±0.1","9,438,007","±3,858","48.5%","±0.1","4,687,843","±7,014","48.5%","±0.1","343,944","±1,591","50.3%","±0.2","5,641,528","±4,404","48.9%","±0.1","1,877,843","±3,361","49.5%","±0.1","1,914,116","±3,146","49.4%","±0.1","6,216,838","±4,073","48.8%","±0.1","508,396","±1,139","48.4%","±0.1","2,274,282","±4,993","48.6%","±0.1","410,505","±2,116","49.8%","±0.3","3,118,951","±5,288","48.7%","±0.1","12,741,162","±7,835","49.6%","±0.1","1,417,639","±2,703","50.3%","±0.1","308,393","±1,059","49.2%","±0.2","3,978,779","±6,842","49.1%","±0.1","3,408,061","±4,042","49.9%","±0.1","914,474","±3,200","49.3%","±0.2","2,835,132","±3,485","49.6%","±0.1","289,416","±1,930","50.9%","±0.3","1,770,224","±2,797","47.8%","±0.1"
"    Female","2,478,327","±5,329","51.6%","±0.1","349,802","±1,425","48.4%","±0.2","3,253,991","±4,431","50.2%","±0.1","1,490,129","±3,826","50.7%","±0.1","18,941,220","±4,823","50.3%","±0.1","2,547,660","±4,217","49.8%","±0.1","1,836,914","±1,891","51.3%","±0.1","467,217","±939","51.5%","±0.1","325,713","±485","52.7%","±0.1","9,736,393","±7,263","51.1%","±0.1","5,006,214","±7,576","51.0%","±0.1","686,210","±1,358","49.9%","±0.1","790,071","±2,358","49.8%","±0.1","6,559,951","±4,694","51.0%","±0.1","3,310,492","±4,000","50.8%","±0.1","1,550,058","±2,950","50.6%","±0.1","1,448,050","±2,574","50.4%","±0.1","2,225,611","±4,175","50.9%","±0.1","2,338,719","±4,028","51.1%","±0.1","677,112","±1,884","51.0%","±0.1","3,008,077","±3,160","51.6%","±0.1","3,399,742","±2,018","51.6%","±0.1","5,027,510","±3,272","50.9%","±0.1","2,688,390","±3,274","50.3%","±0.1","1,531,878","±4,222","51.4%","±0.1","3,064,932","±4,369","51.0%","±0.1","497,888","±1,724","49.9%","±0.2","930,145","±2,903","50.5%","±0.2","1,350,572","±2,376","49.6%","±0.1","667,134","±1,847","50.6%","±0.1","4,522,613","±2,384","51.3%","±0.1","1,045,666","±2,872","50.2%","±0.1","10,027,190","±3,858","51.5%","±0.1","4,968,558","±7,014","51.5%","±0.1","339,988","±1,591","49.7%","±0.2","5,903,423","±4,404","51.1%","±0.1","1,913,665","±3,361","50.5%","±0.1","1,957,743","±3,146","50.6%","±0.1","6,526,048","±4,073","51.2%","±0.1","542,906","±1,139","51.6%","±0.1","2,404,948","±4,993","51.4%","±0.1","413,577","±2,116","50.2%","±0.3","3,284,402","±5,288","51.3%","±0.1","12,933,519","±7,835","50.4%","±0.1","1,399,583","±2,703","49.7%","±0.1","318,038","±1,059","50.8%","±0.2","4,117,825","±6,842","50.9%","±0.1","3,421,977","±4,042","50.1%","±0.1","940,890","±3,200","50.7%","±0.2","2,876,635","±3,485","50.4%","±0.1","278,742","±1,930","49.1%","±0.3","1,936,466","±2,797","52.2%","±0.1"
"    Under 5 years","298,465","±2,738","6.2%","±0.1","54,031","±875","7.5%","±0.1","447,964","±2,472","6.9%","±0.1","197,666","±2,124","6.7%","±0.1","2,533,655","±2,934","6.7%","±0.1","341,041","±1,953","6.7%","±0.1","196,206","±1,187","5.5%","±0.1","55,248","±253","6.1%","±0.1","36,232","±153","5.9%","±0.1","1,074,324","±4,530","5.6%","±0.1","674,027","±5,010","6.9%","±0.1","88,020","±336","6.4%","±0.1","118,486","±1,173","7.5%","±0.1","826,970","±2,785","6.4%","±0.1","428,324","±2,338","6.6%","±0.1","198,202","±1,975","6.5%","±0.1","202,040","±1,936","7.0%","±0.1","279,098","±2,803","6.4%","±0.1","312,975","±2,265","6.8%","±0.1","66,221","±1,092","5.0%","±0.1","363,121","±1,520","6.2%","±0.1","362,557","±1,031","5.5%","±0.1","583,393","±2,286","5.9%","±0.1","352,599","±2,268","6.6%","±0.1","205,397","±2,308","6.9%","±0.1","381,617","±2,603","6.3%","±0.1","60,449","±1,344","6.1%","±0.1","130,982","±1,722","7.1%","±0.1","185,186","±1,069","6.8%","±0.1","67,606","±1,078","5.1%","±0.1","535,544","±1,107","6.1%","±0.1","144,400","±1,795","6.9%","±0.1","1,157,457","±1,992","5.9%","±0.1","626,723","±4,982","6.5%","±0.1","46,266","±1,234","6.8%","±0.2","708,443","±2,683","6.1%","±0.1","264,196","±2,274","7.0%","±0.1","238,669","±2,343","6.2%","±0.1","720,974","±2,000","5.7%","±0.1","55,446","±641","5.3%","±0.1","302,721","±2,412","6.5%","±0.1","58,548","±769","7.1%","±0.1","399,788","±3,559","6.2%","±0.1","1,953,347","±5,089","7.6%","±0.1","262,298","±1,828","9.3%","±0.1","30,773","±692","4.9%","±0.1","508,416","±3,722","6.3%","±0.1","439,347","±1,457","6.4%","±0.1","104,148","±1,930","5.6%","±0.1","349,200","±1,949","6.1%","±0.1","39,022","±1,050","6.9%","±0.2","216,792","±1,138","5.8%","±0.1"
"    5 to 9 years","302,411","±6,774","6.3%","±0.1","50,720","±2,466","7.0%","±0.3","452,876","±9,810","7.0%","±0.2","196,893","±5,361","6.7%","±0.2","2,515,834","±22,057","6.7%","±0.1","348,587","±8,357","6.8%","±0.2","221,922","±5,815","6.2%","±0.2","57,647","±2,809","6.4%","±0.3","26,634","±2,137","4.3%","±0.3","1,085,959","±15,152","5.7%","±0.1","698,065","±13,131","7.1%","±0.1","81,643","±3,009","5.9%","±0.2","122,811","±4,713","7.7%","±0.3","858,285","±11,699","6.7%","±0.1","440,558","±7,394","6.8%","±0.1","200,400","±4,921","6.5%","±0.2","198,290","±4,597","6.9%","±0.2","289,206","±5,950","6.6%","±0.1","304,289","±6,775","6.7%","±0.1","76,166","±3,224","5.7%","±0.2","366,384","±7,597","6.3%","±0.1","380,297","±7,693","5.8%","±0.1","625,273","±8,809","6.3%","±0.1","358,070","±6,931","6.7%","±0.1","201,625","±5,925","6.8%","±0.2","395,452","±8,265","6.6%","±0.1","63,828","±2,989","6.4%","±0.3","130,674","±3,685","7.1%","±0.2","191,592","±6,507","7.0%","±0.2","77,439","±3,429","5.9%","±0.3","560,110","±9,910","6.3%","±0.1","140,345","±5,623","6.7%","±0.3","1,157,267","±11,552","5.9%","±0.1","628,884","±12,527","6.5%","±0.1","42,846","±2,135","6.3%","±0.3","750,037","±9,529","6.5%","±0.1","258,740","±5,440","6.8%","±0.1","234,200","±5,649","6.0%","±0.1","748,956","±9,563","5.9%","±0.1","60,734","±3,013","5.8%","±0.3","300,725","±7,647","6.4%","±0.2","55,802","±2,661","6.8%","±0.3","403,272","±7,410","6.3%","±0.1","1,981,163","±19,873","7.7%","±0.1","251,663","±6,031","8.9%","±0.2","32,680","±1,718","5.2%","±0.3","515,172","±11,197","6.4%","±0.1","429,725","±7,770","6.3%","±0.1","105,786","±3,713","5.7%","±0.2","363,312","±6,314","6.4%","±0.1","35,530","±2,147","6.3%","±0.4","227,780","±5,674","6.1%","±0.2"
"    10 to 14 years","327,106","±6,576","6.8%","±0.1","52,805","±2,381","7.3%","±0.3","452,256","±9,748","7.0%","±0.2","201,044","±5,849","6.8%","±0.2","2,580,033","±22,172","6.8%","±0.1","340,012","±8,122","6.6%","±0.2","236,759","±5,836","6.6%","±0.2","56,393","±2,766","6.2%","±0.3","26,062","±2,124","4.2%","±0.3","1,126,994","±16,432","5.9%","±0.1","706,855","±12,820","7.2%","±0.1","83,794","±2,981","6.1%","±0.2","119,276","±4,638","7.5%","±0.3","867,305","±11,378","6.7%","±0.1","453,693","±7,379","7.0%","±0.1","202,033","±5,036","6.6%","±0.2","203,842","±4,595","7.1%","±0.2","282,810","±6,217","6.5%","±0.1","316,150","±6,575","6.9%","±0.1","78,205","±3,115","5.9%","±0.2","380,928","±7,590","6.5%","±0.1","404,436","±7,897","6.1%","±0.1","661,843","±9,006","6.7%","±0.1","350,621","±6,425","6.6%","±0.1","221,471","±5,787","7.4%","±0.2","392,118","±7,899","6.5%","±0.1","59,101","±3,025","5.9%","±0.3","124,193","±3,568","6.7%","±0.2","174,007","±6,858","6.4%","±0.3","82,207","±3,291","6.2%","±0.2","583,087","±9,979","6.6%","±0.1","149,365","±5,288","7.2%","±0.3","1,192,952","±11,949","6.1%","±0.1","660,712","±13,772","6.8%","±0.1","37,632","±1,850","5.5%","±0.3","760,141","±9,197","6.6%","±0.1","261,447","±5,675","6.9%","±0.1","244,013","±5,784","6.3%","±0.1","784,757","±9,854","6.2%","±0.1","62,459","±3,149","5.9%","±0.3","299,636","±8,434","6.4%","±0.2","54,352","±2,593","6.6%","±0.3","431,978","±7,176","6.7%","±0.1","1,901,653","±19,039","7.4%","±0.1","238,050","±6,139","8.4%","±0.2","38,389","±1,754","6.1%","±0.3","516,238","±11,519","6.4%","±0.1","444,223","±7,490","6.5%","±0.1","109,372","±3,568","5.9%","±0.2","380,698","±6,703","6.7%","±0.1","39,025","±2,286","6.9%","±0.4","265,472","±5,736","7.2%","±0.2"
"    15 to 19 years","338,270","±4,752","7.0%","±0.1","49,546","±2,033","6.9%","±0.3","455,642","±4,965","7.0%","±0.1","196,256","±4,013","6.7%","±0.1","2,751,463","±6,220","7.3%","±0.1","339,145","±3,651","6.6%","±0.1","254,836","±1,475","7.1%","±0.1","61,865","±1,262","6.8%","±0.1","40,698","±2,688","6.6%","±0.4","1,219,318","±9,588","6.4%","±0.1","722,839","±10,704","7.4%","±0.1","83,289","±1,382","6.1%","±0.1","115,152","±3,081","7.3%","±0.2","913,267","±4,091","7.1%","±0.1","473,141","±4,813","7.3%","±0.1","217,583","±3,006","7.1%","±0.1","206,073","±3,807","7.2%","±0.1","298,803","±4,724","6.8%","±0.1","322,229","±4,925","7.0%","±0.1","86,276","±1,471","6.5%","±0.1","403,047","±4,410","6.9%","±0.1","462,595","±2,987","7.0%","±0.1","721,079","±4,178","7.3%","±0.1","369,145","±2,690","6.9%","±0.1","227,452","±5,083","7.6%","±0.2","418,086","±4,369","7.0%","±0.1","66,109","±1,932","6.6%","±0.2","131,407","±2,264","7.1%","±0.1","178,918","±2,485","6.6%","±0.1","91,042","±1,437","6.9%","±0.1","591,453","±2,795","6.7%","±0.1","145,135","±2,823","7.0%","±0.1","1,335,714","±4,996","6.9%","±0.1","663,891","±8,665","6.9%","±0.1","46,630","±1,083","6.8%","±0.2","802,732","±4,317","7.0%","±0.1","264,356","±4,058","7.0%","±0.1","247,713","±3,678","6.4%","±0.1","894,468","±4,447","7.0%","±0.1","78,058","±1,675","7.4%","±0.2","326,831","±5,570","7.0%","±0.1","59,036","±2,142","7.2%","±0.3","431,921","±5,553","6.7%","±0.1","1,890,217","±9,231","7.4%","±0.1","221,824","±2,365","7.9%","±0.1","45,050","±1,125","7.2%","±0.2","554,009","±7,236","6.8%","±0.1","450,496","±4,199","6.6%","±0.1","119,898","±2,277","6.5%","±0.1","399,703","±3,419","7.0%","±0.1","38,768","±1,963","6.8%","±0.3","284,644","±3,073","7.7%","±0.1"
"    20 to 24 years","343,410","±4,281","7.2%","±0.1","58,754","±1,831","8.1%","±0.3","462,544","±4,020","7.1%","±0.1","202,693","±4,124","6.9%","±0.1","2,867,055","±6,361","7.6%","±0.1","360,701","±3,997","7.0%","±0.1","226,583","±1,661","6.3%","±0.1","64,862","±1,302","7.2%","±0.1","60,109","±2,677","9.7%","±0.4","1,283,366","±8,377","6.7%","±0.1","704,463","±9,777","7.2%","±0.1","98,552","±1,697","7.2%","±0.1","110,800","±2,946","7.0%","±0.2","881,738","±3,800","6.9%","±0.1","465,747","±4,124","7.1%","±0.1","216,890","±3,202","7.1%","±0.1","208,899","±4,043","7.3%","±0.1","297,089","±4,372","6.8%","±0.1","346,456","±4,529","7.6%","±0.1","78,783","±1,547","5.9%","±0.1","399,152","±4,586","6.8%","±0.1","475,603","±2,877","7.2%","±0.1","696,275","±3,440","7.1%","±0.1","353,625","±2,975","6.6%","±0.1","209,859","±5,594","7.0%","±0.2","414,861","±3,772","6.9%","±0.1","71,919","±2,265","7.2%","±0.2","129,273","±2,696","7.0%","±0.1","182,659","±2,492","6.7%","±0.1","85,693","±1,790","6.5%","±0.1","546,348","±3,219","6.2%","±0.1","148,793","±2,998","7.1%","±0.1","1,424,103","±4,663","7.3%","±0.1","676,834","±7,906","7.0%","±0.1","62,413","±1,713","9.1%","±0.3","774,362","±4,388","6.7%","±0.1","273,573","±3,991","7.2%","±0.1","262,510","±3,692","6.8%","±0.1","879,496","±4,262","6.9%","±0.1","82,339","±1,649","7.8%","±0.2","338,785","±6,001","7.2%","±0.1","58,756","±2,405","7.1%","±0.3","442,002","±6,198","6.9%","±0.1","1,873,910","±11,176","7.3%","±0.1","234,719","±2,349","8.3%","±0.1","44,887","±903","7.2%","±0.1","583,925","±6,679","7.2%","±0.1","482,821","±4,927","7.1%","±0.1","121,962","±3,123","6.6%","±0.2","387,481","±3,182","6.8%","±0.1","40,205","±1,735","7.1%","±0.3","268,487","±3,174","7.2%","±0.1"
"    25 to 34 years","609,611","±5,278","12.7%","±0.1","106,279","±2,010","14.7%","±0.3","866,715","±4,140","13.4%","±0.1","382,514","±4,879","13.0%","±0.2","5,404,486","±6,748","14.3%","±0.1","744,951","±4,672","14.6%","±0.1","428,130","±2,283","12.0%","±0.1","114,197","±1,500","12.6%","±0.2","133,265","±254","21.6%","±0.1","2,328,282","±9,895","12.2%","±0.1","1,326,493","±11,799","13.5%","±0.1","192,625","±2,002","14.0%","±0.1","206,376","±3,032","13.0%","±0.2","1,781,187","±5,004","13.8%","±0.1","830,830","±4,740","12.7%","±0.1","386,830","±3,597","12.6%","±0.1","374,545","±3,192","13.0%","±0.1","564,651","±3,815","12.9%","±0.1","632,061","±5,337","13.8%","±0.1","144,778","±1,555","10.9%","±0.1","779,561","±4,602","13.4%","±0.1","863,319","±2,392","13.1%","±0.1","1,168,784","±4,279","11.8%","±0.1","725,526","±3,736","13.6%","±0.1","377,837","±5,705","12.7%","±0.2","785,188","±4,036","13.1%","±0.1","125,005","±2,412","12.5%","±0.2","245,845","±2,202","13.3%","±0.1","386,245","±2,724","14.2%","±0.1","146,192","±2,075","11.1%","±0.2","1,122,087","±3,460","12.7%","±0.1","274,404","±3,389","13.2%","±0.2","2,708,911","±4,727","13.9%","±0.1","1,246,395","±8,168","12.9%","±0.1","93,441","±1,466","13.7%","±0.2","1,421,908","±4,409","12.3%","±0.1","512,454","±3,534","13.5%","±0.1","530,964","±4,523","13.7%","±0.1","1,536,268","±4,333","12.1%","±0.1","129,313","±1,463","12.3%","±0.1","590,872","±6,700","12.6%","±0.1","104,412","±1,851","12.7%","±0.2","831,963","±6,530","13.0%","±0.1","3,671,399","±11,705","14.3%","±0.1","441,878","±3,245","15.7%","±0.1","70,364","±865","11.2%","±0.1","1,102,896","±8,263","13.6%","±0.1","959,672","±5,366","14.1%","±0.1","217,905","±2,763","11.7%","±0.1","731,214","±4,263","12.8%","±0.1","79,318","±1,745","14.0%","±0.3","471,617","±3,184","12.7%","±0.1"
